TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2018,5,16,17,0,10XX BOUNDARY RD,Hastings-Sunrise,498275.62,5458124.9411
Break and Enter Commercial,2018,2,27,21,40,11XX ROSSLAND ST,Hastings-Sunrise,496691.9762,5458065.5319
Break and Enter Commercial,2012,9,25,22,33,13XX BOUNDARY RD,Hastings-Sunrise,498274.193,5457716.8366
Break and Enter Commercial,2006,5,12,20,0,13XX BOUNDARY RD,Hastings-Sunrise,498274.2719,5457738.6666
Break and Enter Commercial,2006,5,13,20,58,13XX BOUNDARY RD,Hastings-Sunrise,498274.2719,5457738.6666
Break and Enter Commercial,2006,7,28,18,0,13XX BOUNDARY RD,Hastings-Sunrise,498274.2719,5457738.6666
Break and Enter Commercial,2007,12,25,15,30,13XX BOUNDARY RD,Hastings-Sunrise,498274.2719,5457738.6666
Break and Enter Commercial,2015,11,30,4,42,13XX BOUNDARY RD,Hastings-Sunrise,498274.2719,5457738.6666
Break and Enter Commercial,2003,2,16,0,4,13XX BOUNDARY RD,Hastings-Sunrise,498274.4694,5457793.2416
Break and Enter Commercial,2004,2,27,3,46,13XX BOUNDARY RD,Hastings-Sunrise,498274.4694,5457793.2416
Break and Enter Commercial,2004,11,4,6,14,13XX BOUNDARY RD,Hastings-Sunrise,498274.4694,5457793.2416
Break and Enter Commercial,2008,11,14,18,0,13XX BOUNDARY RD,Hastings-Sunrise,498274.4694,5457793.2416
Break and Enter Commercial,2012,11,4,11,45,13XX BOUNDARY RD,Hastings-Sunrise,498274.4694,5457793.2416
Break and Enter Commercial,2004,8,21,18,0,13XX BOUNDARY RD,Hastings-Sunrise,498274.4741,5457794.4547
Break and Enter Commercial,2021,5,26,9,40,13XX BOUNDARY RD,Hastings-Sunrise,498274.4741,5457794.4547
Break and Enter Commercial,2004,7,24,11,45,13XX KOOTENAY ST,Hastings-Sunrise,497986.3612,5457784.506
Break and Enter Commercial,2006,12,9,21,0,13XX KOOTENAY ST,Hastings-Sunrise,497986.3612,5457784.506
Break and Enter Commercial,2006,12,11,13,3,13XX KOOTENAY ST,Hastings-Sunrise,497986.3612,5457784.506
Break and Enter Commercial,2006,8,28,20,0,13XX KOOTENAY ST,Hastings-Sunrise,497987.0608,5457780.8629
Break and Enter Commercial,2006,10,1,9,54,13XX KOOTENAY ST,Hastings-Sunrise,497987.0608,5457780.8629
Break and Enter Commercial,2006,10,8,5,25,13XX KOOTENAY ST,Hastings-Sunrise,497987.0608,5457780.8629
Break and Enter Commercial,2006,10,10,5,58,13XX KOOTENAY ST,Hastings-Sunrise,497987.0608,5457780.8629
Break and Enter Commercial,2003,3,24,14,40,13XX KOOTENAY ST,Hastings-Sunrise,497995.3412,5457786.2305
Break and Enter Commercial,2003,3,26,23,0,13XX KOOTENAY ST,Hastings-Sunrise,497995.3412,5457786.2305
Break and Enter Commercial,2004,11,3,23,20,13XX KOOTENAY ST,Hastings-Sunrise,497995.3412,5457786.2305
Break and Enter Commercial,2007,1,5,20,20,13XX KOOTENAY ST,Hastings-Sunrise,497995.3412,5457786.2305
Break and Enter Commercial,2005,9,25,16,31,13XX KOOTENAY ST,Hastings-Sunrise,497998.8392,5457768.0148
Break and Enter Commercial,2006,4,1,19,49,13XX KOOTENAY ST,Hastings-Sunrise,497998.8392,5457768.0148
Break and Enter Commercial,2004,10,27,0,38,13XX NANAIMO ST,Hastings-Sunrise,495888.2204,5457735.1541
Break and Enter Commercial,2005,7,2,1,15,13XX NANAIMO ST,Hastings-Sunrise,495888.2414,5457742.6699
Break and Enter Commercial,2006,12,10,6,36,13XX NANAIMO ST,Hastings-Sunrise,495888.2414,5457742.6699
Break and Enter Commercial,2006,12,14,2,4,13XX NANAIMO ST,Hastings-Sunrise,495888.2414,5457742.6699
Break and Enter Commercial,2003,12,23,4,53,13XX NANAIMO ST,Hastings-Sunrise,495888.2835,5457757.7014
Break and Enter Commercial,2004,11,15,23,30,13XX NANAIMO ST,Hastings-Sunrise,495888.2835,5457757.7014
Break and Enter Commercial,2018,6,21,2,48,13XX NANAIMO ST,Hastings-Sunrise,495888.2912,5457760.5975
Break and Enter Commercial,2004,9,18,21,0,13XX NANAIMO ST,Hastings-Sunrise,495888.3361,5457776.4908
Break and Enter Commercial,2011,1,19,19,15,13XX NANAIMO ST,Hastings-Sunrise,495888.3361,5457776.4908
Break and Enter Commercial,2014,5,5,20,30,13XX NANAIMO ST,Hastings-Sunrise,495888.3624,5457785.8856
Break and Enter Commercial,2007,9,14,18,0,13XX NANAIMO ST,Hastings-Sunrise,495888.5474,5457815.7263
Break and Enter Commercial,2018,5,5,3,59,13XX NANAIMO ST,Hastings-Sunrise,495888.6152,5457823.4394
Break and Enter Commercial,2018,7,7,1,18,13XX NANAIMO ST,Hastings-Sunrise,495888.6152,5457823.4394
Break and Enter Commercial,2003,10,4,5,10,14XX KOOTENAY ST,Hastings-Sunrise,498012.8313,5457695.152
Break and Enter Commercial,2003,11,9,23,41,14XX KOOTENAY ST,Hastings-Sunrise,498012.8313,5457695.152
Break and Enter Commercial,2006,5,3,5,59,14XX KOOTENAY ST,Hastings-Sunrise,498013.296,5457644.2452
Break and Enter Commercial,2007,3,17,8,14,14XX KOOTENAY ST,Hastings-Sunrise,498013.296,5457644.2452
Break and Enter Commercial,2007,3,19,2,47,14XX KOOTENAY ST,Hastings-Sunrise,498013.296,5457644.2452
Break and Enter Commercial,2004,2,11,18,30,14XX KOOTENAY ST,Hastings-Sunrise,498019.8273,5457658.7206
Break and Enter Commercial,2004,4,1,1,7,14XX KOOTENAY ST,Hastings-Sunrise,498019.8273,5457658.7206
Break and Enter Commercial,2004,4,17,2,25,14XX KOOTENAY ST,Hastings-Sunrise,498019.8273,5457658.7206
Break and Enter Commercial,2003,5,24,6,26,14XX KOOTENAY ST,Hastings-Sunrise,498025.0743,5457631.3971
Break and Enter Commercial,2003,6,15,2,30,14XX KOOTENAY ST,Hastings-Sunrise,498025.0743,5457631.3971
Break and Enter Commercial,2005,8,7,10,14,14XX KOOTENAY ST,Hastings-Sunrise,498025.0743,5457631.3971
Break and Enter Commercial,2021,4,22,21,21,14XX LILLOOET ST,Hastings-Sunrise,497173.0903,5457693.8113
Break and Enter Commercial,2022,1,7,7,57,15XX BOUNDARY RD,Hastings-Sunrise,498273.5953,5457510.695
Break and Enter Commercial,2022,1,16,13,46,15XX BOUNDARY RD,Hastings-Sunrise,498273.5953,5457510.695
Break and Enter Commercial,2003,12,24,0,15,15XX BOUNDARY RD,Hastings-Sunrise,498273.6005,5457512.5582
